,Unnamed: 0,Producer,time,bandwidth,input-load,input-packet-rate,input-data-rate,interface-name,load-interval,output-data-rate,output-load,output-packet-rate,peak-input-data-rate,peak-input-packet-rate,peak-output-data-rate,peak-output-packet-rate,reliability
133000,141335,leaf6,1501868044655000000,100000000,44,1499048.0,17280804.0,HundredGigE0/0/0/6,0,10366055.0,26,922855.0,0,0,0,0,255
133001,141336,leaf6,1501868044657000000,100000000,26,927322.0,10428314.0,HundredGigE0/0/0/7,0,8320331.0,21,751313.0,0,0,0,0,255
133002,141337,leaf6,1501868044660000000,100000000,14,518282.0,5736666.0,HundredGigE0/0/0/8,0,14849422.0,37,1279777.0,0,0,0,0,255
133003,141338,leaf6,1501868044662000000,100000000,24,850412.0,9652526.0,HundredGigE0/0/0/9,0,8738984.0,22,792587.0,0,0,0,0,255
133004,141339,leaf6,1501868044665000000,100000000,18,633830.0,7288547.0,HundredGigE0/0/0/10,0,14664684.0,37,1267661.0,0,0,0,0,255
133005,141340,leaf6,1501868044667000000,100000000,19,671506.0,7824202.0,HundredGigE0/0/0/11,0,12141318.0,30,1064943.0,0,0,0,0,255
133006,141341,leaf6,1501868044670000000,100000000,19,663219.0,7623246.0,HundredGigE0/0/0/12,0,12813348.0,32,1114400.0,0,0,0,0,255
133007,141342,leaf6,1501868044672000000,100000000,19,639420.0,7457674.0,HundredGigE0/0/0/13,0,10285929.0,26,944564.0,0,0,0,0,255
133008,141343,leaf6,1501868044674000000,100000000,22,771619.0,8650238.0,HundredGigE0/0/0/14,0,9426690.0,24,849620.0,0,0,0,0,255
133009,141344,leaf6,1501868044677000000,100000000,23,824694.0,9364728.0,HundredGigE0/0/0/15,0,12659281.0,32,1098629.0,0,0,0,0,255
133010,141345,leaf6,1501868044679000000,100000000,9,373135.0,3857429.0,HundredGigE0/0/0/16,0,12311442.0,31,1095312.0,0,0,0,0,255
133011,141346,leaf6,1501868044682000000,100000000,19,696405.0,7831501.0,HundredGigE0/0/0/17,0,11189678.0,28,997668.0,0,0,0,0,255
133012,141347,leaf6,1501868044685000000,100000000,12,457903.0,4971443.0,HundredGigE0/0/0/18,0,15255010.0,38,1297009.0,0,0,0,0,255
133013,141348,leaf6,1501868044687000000,100000000,15,547340.0,6057398.0,HundredGigE0/0/0/19,0,8724838.0,22,758448.0,0,0,0,0,255
133014,141349,leaf6,1501868044690000000,100000000,0,0.0,0.0,HundredGigE0/0/0/20,0,0.0,0,0.0,0,0,0,0,255
133015,141350,leaf6,1501868044693000000,100000000,0,0.0,0.0,HundredGigE0/0/0/21,0,0.0,0,0.0,0,0,0,0,255
133016,141351,leaf6,1501868044695000000,100000000,0,0.0,0.0,HundredGigE0/0/0/22,0,0.0,0,0.0,0,0,0,0,255
133017,141352,leaf6,1501868044698000000,100000000,0,0.0,0.0,HundredGigE0/0/0/23,0,0.0,0,0.0,0,0,0,0,255
133018,141353,leaf6,1501868044700000000,100000000,0,0.0,0.0,HundredGigE0/0/0/24,0,0.0,0,0.0,0,0,0,0,255
133019,141354,leaf6,1501868044702000000,100000000,0,0.0,0.0,HundredGigE0/0/0/25,0,0.0,0,0.0,0,0,0,0,255
133020,141355,leaf6,1501868044705000000,100000000,0,0.0,0.0,HundredGigE0/0/0/26,0,0.0,0,0.0,0,0,0,0,255
133021,141356,leaf6,1501868044707000000,100000000,0,0.0,0.0,HundredGigE0/0/0/27,0,0.0,0,0.0,0,0,0,0,255
133022,141357,leaf6,1501868044709000000,100000000,0,0.0,0.0,HundredGigE0/0/0/28,0,0.0,0,0.0,0,0,0,0,255
133023,141358,leaf6,1501868044712000000,100000000,0,0.0,0.0,HundredGigE0/0/0/29,0,0.0,0,0.0,0,0,0,0,255
133024,141359,leaf6,1501868044714000000,100000000,228,7891505.0,89771737.0,HundredGigE0/0/0/30,0,71213293.0,181,6324156.0,0,0,0,0,255
133025,141360,leaf6,1501868044716000000,100000000,222,7715402.0,87336591.0,HundredGigE0/0/0/31,0,69139177.0,176,6066855.0,0,0,0,0,255
133026,141361,spine4,1501868044956000000,0,0,0.0,0.0,Null0,9,0.0,0,0.0,0,0,0,0,255
133027,141362,spine4,1501868044959000000,1000000,0,8.0,9.0,MgmtEth0/RP0/CPU0/0,9,14.0,0,6.0,0,0,0,0,254
133028,141363,spine4,1501868044961000000,100000000,31,1070737.0,12320237.0,HundredGigE0/0/0/0,0,8303848.0,21,772005.0,0,0,0,0,255
133029,141364,spine4,1501868044963000000,100000000,27,955869.0,10649499.0,HundredGigE0/0/0/1,0,8835100.0,22,830002.0,0,0,0,0,255
133030,141365,spine4,1501868044966000000,100000000,29,998748.0,11484440.0,HundredGigE0/0/0/2,0,16228342.0,41,1390762.0,0,0,0,0,255
133031,141366,spine4,1501868044968000000,100000000,24,879973.0,9740808.0,HundredGigE0/0/0/3,0,11840128.0,30,1079446.0,0,0,0,0,255
133032,141367,spine4,1501868044970000000,100000000,37,1263667.0,14773743.0,HundredGigE0/0/0/4,0,12573859.0,32,1078802.0,0,0,0,0,255
133033,141368,spine4,1501868044973000000,100000000,25,905414.0,10066131.0,HundredGigE0/0/0/5,0,9785201.0,24,861901.0,0,0,0,0,255
133034,141369,spine4,1501868044975000000,100000000,14,529996.0,5746002.0,HundredGigE0/0/0/6,0,6619151.0,16,616562.0,0,0,0,0,255
133035,141370,spine4,1501868044977000000,100000000,33,1185627.0,13316754.0,HundredGigE0/0/0/7,0,11349257.0,28,997721.0,0,0,0,0,255
133036,141371,spine4,1501868044980000000,100000000,0,1716.0,19731.0,HundredGigE0/0/0/8,0,11999948.0,30,1015716.0,0,0,0,0,255
133037,141372,spine4,1501868044982000000,100000000,0,1582.0,17971.0,HundredGigE0/0/0/9,0,11723312.0,29,1070922.0,0,0,0,0,255
133038,141373,dr01,1501868044983000000,0,0,0.0,0.0,Null0,9,0.0,0,0.0,0,0,0,0,255
133039,141374,spine4,1501868044985000000,100000000,0,5.0,47.0,HundredGigE0/0/0/10,0,11715560.0,29,1035102.0,0,0,0,0,255
133040,141375,dr01,1501868044985000000,1000000,0,10.0,11.0,MgmtEth0/RP0/CPU0/0,9,18.0,0,8.0,0,0,0,0,255
133041,141376,dr01,1501868044987000000,100000000,86,3055278.0,33791092.0,HundredGigE0/0/0/0,0,45317476.0,115,4010503.0,0,0,0,0,255
133042,141377,spine4,1501868044987000000,100000000,0,5.0,46.0,HundredGigE0/0/0/11,0,12671210.0,32,1140535.0,0,0,0,0,255
