time,leaf1 input packet rate,leaf1 output packet rate,leaf2 input packet rate,leaf2 output packet rate,leaf3 input packet rate,leaf3 output packet rate,leaf4 input packet rate,leaf4 output packet rate,leaf5 input packet rate,leaf5 output packet rate,leaf6 input packet rate,leaf6 output packet rate,leaf7 input packet rate,leaf7 output packet rate,leaf8 input packet rate,leaf8 output packet rate,spine1 input packet rate,spine1 output packet rate,spine2 input packet rate,spine2 output packet rate,spine3 input packet rate,spine3 output packet rate,spine4 input packet rate,spine4 output packet rate
1501867420165000000,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1501867420168000000,,,,,,,,,,,,,,,6.0,5.0,,,,,,,,
1501867420170000000,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1501867420172000000,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1501867420175000000,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1501867420177000000,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1501867420179000000,,,,,,,,,,,,,,,1094367.0,1136627.0,,,,,,,,
1501867420181000000,,,,,,,,,,,,,,,1754674.0,1136707.0,,,,,,,,
1501867420184000000,,,,,,,,,,,,,,,1653938.0,967168.0,,,,,,,,
1501867420186000000,,,,,,,,,,,,,,,1536793.0,663884.0,,,,,,,,
1501867420189000000,,,,,,,,,,,,,,,878512.0,567041.0,,,,,,,,
1501867420191000000,,,,,,,,,,,,,,,520471.0,716383.0,,,,,,,,
1501867420193000000,,,,,,,,,,,,,,,840478.0,1190112.0,,,,,,,,
1501867420195000000,,,,,,,,,,,,,,,870038.0,1167213.0,,,,,,,,
1501867420198000000,,,,,,,,,,,,,,,728473.0,831254.0,,,,,,,,
1501867420200000000,,,,,,,,,,,,,,,1187948.0,581226.0,,,,,,,,
1501867420203000000,,,,,,,,,,,,,,,444143.0,988797.0,,,,,,,,
1501867420205000000,,,,,,,,,,,,,,,1007302.0,725143.0,,,,,,,,
1501867420207000000,,,,,,,,,,,,,,,1072444.0,1502955.0,,,,,,,,
1501867420210000000,,,,,,,,,,,,,,,663318.0,1022738.0,,,,,,,,
1501867420212000000,,,,,,,,,,,,,,,810671.0,599978.0,,,,,,,,
1501867420215000000,,,,,,,,,,,,,,,749776.0,439543.0,,,,,,,,
1501867420218000000,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1501867420220000000,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1501867420223000000,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1501867420225000000,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1501867420227000000,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1501867420229000000,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1501867420232000000,,,,,,,,,,,,,,,339.0,2765.0,,,,,,,,
1501867420234000000,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1501867420236000000,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1501867420239000000,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1501867420241000000,,,,,,,,,,,,,,,6502288.0,8130591.0,,,,,,,,
1501867420243000000,,,,,,,,,,,,,,,7734296.0,7681028.0,,,,,,,,
1501867420282000000,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
1501867420284000000,,,,,,,,,,,,,,,,,,,7.0,5.0,,,,
1501867420286000000,,,,,,,,,,,,,,,,,,,1045399.0,603823.0,,,,
1501867420289000000,,,,,,,,,,,,,,,,,,,727901.0,286779.0,,,,
1501867420291000000,,,,,,,,,,,,,,,,,,,745412.0,1395269.0,,,,
1501867420293000000,,,,,,,,,,,,,,,,,,,1545798.0,617326.0,,,,
1501867420295000000,,,,,,,,,,,,,,,,,,,942957.0,759012.0,,,,
1501867420298000000,,,,,,,,,,,,,,,,,,,1303038.0,1061777.0,,,,
1501867420300000000,,,,,,,,,,,,,,,,,,,856691.0,1109355.0,,,,
1501867420302000000,,,,,,,,,,,,,,,,,,,1338187.0,971074.0,,,,
1501867420305000000,,,,,,,,,,,,,,,,,,,1.0,924451.0,,,,
1501867420307000000,,,,,,,,,,,,,,,,,,,1.0,1085507.0,,,,
1501867420309000000,,,,,,,,,,,,,,,,,,,1.0,872710.0,,,,
1501867420312000000,,,,,,,,,,,,,,,,,,,1.0,816217.0,,,,
1501867420314000000,,,,,,,,,,,,,,,,,,,690667.0,1079434.0,,,,
1501867420317000000,,,,,,,,,,,,,,,,,,,1015633.0,1387713.0,,,,
1501867420319000000,,,,,,,,,,,,,,,,,,,890843.0,808633.0,,,,
1501867420322000000,,,,,,,,,,,,,,,,,,,931995.0,953267.0,,,,
1501867420324000000,,,,,,,,,,,,,,,,,,,807945.0,543092.0,,,,
1501867420327000000,,,,,,,,,,,,,,,,,,,775997.0,769940.0,,,,
1501867420329000000,,,,,,,,,,,,,,,,,,,1133454.0,702432.0,,,,
1501867420332000000,,,,,,,,,,,,,,,,,,,722608.0,712535.0,,,,
